Bus Number,Type,V,D,P,Q
1,Slack,1.06,0.0,0.0,0.0
2,Generator,1.045,-0.08654639578151645,0.183,0.297
3,Generator,1.01,-0.22063675140257025,-0.942,0.044
4,Load,1.0243719653023846,-0.18044348377378622,-0.478,0.039
5,Load,1.030640010182002,-0.15584997955742236,-0.076,-0.016
6,Generator,1.07,-0.2542298871036266,-0.112,0.047
7,Load,1.043814478805508,-0.2319556401136757,0.0,0.0
8,Generator,1.09,-0.2319556401136757,0.0,0.174
9,Load,1.0265514260206838,-0.25959612840045837,-0.295,-0.166
10,Load,1.0266242706753994,-0.2635617061735293,-0.09,-0.058
11,Load,1.0444480274301084,-0.260893956547011,-0.035,-0.018
12,Load,1.0529561233074427,-0.2690478337794808,-0.061,-0.016
13,Load,1.0460519999409235,-0.26950086583969785,-0.135,-0.058
14,Load,1.016728914925861,-0.2819550755639171,-0.149,-0.05
